uid	name	facility	classification	province	district	sub_district	latitude	longitude	fax	tel	cel	email	manager	area_type	ownership	postal_area	postal_address	street_address	overall_performance	vital_measures	extreme_measures	essential_measures	developmental_measures	facilities_and_infrastructure	clinical_support_services	patient_safety-clinical_governance-clinical_care	operational_management	patients_rights	public_health	leadership_and_corporate_governance	infection_prevention_and_control	improve_patient_safety_and_security	waiting_times	positive_and_caring_attitudes	cleanliness	availability_of_medicines_and_supplies	accommodation-consulting_room-clinic	accommodation-procedure_room-total	accommodation-consulting-room-outpatient-department	accommodation-consulting_room-accident_and_emergency_department	accommodation-medicine_room-number_of	staff-nursing_staff-professional_nurse-vacant	staff-Nursing_Staff-Professional_Nurse-part_time	staff-Nursing_Staff-Professional_Nurse-full_time	staff-Nursing_Staff-Enrolled_Nurse_Assistant-vacant	staff-Nursing_Staff-Enrolled_Nurse_Assistant-part_time	staff-Nursing_Staff-Enrolled_Nurse_Assistant-full_time	staff-Clinical_staff-Other-vacant	staff-Clinical_staff-Other-part_time	staff-Clinical_staff-Other-full_time	staff-Nursing_Staff-Enrolled_Nurs-vacant	staff-Nursing_Staff-Enrolled_Nurs-part_time	staff-Nursing_Staff-Enrolled_Nurs-full_time	staff-Nursing_Staff-Enrolled_Nurse-vacant	staff-Nursing_Staff-Enrolled_Nurse-part_time	staff-Nursing_Staff-Enrolled_Nurse-full_time	staff-Nursing_Staff-Advanced_Midwives-vacant	staff-Nursing_Staff-Advanced_Midwives-part_time	staff-Nursing_Staff-Advanced_Midwives-full_time	staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-vacant	staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-part_time	staff-Nursing_Staff-Specialised_Nurses_(Exluding_Advanced_Midwives)-full_time	staff-Clinical_staff-Pharmacists-vacant	staff-Clinical_staff-Pharmacists-part_time	staff-Clinical_staff-Pharmacists-full_time	staff-Clinical_staff-Allied_Health_Professionals-vacant	staff-Clinical_staff-Allied_Health_Professionals-part_time	staff-Clinical_staff-Allied_Health_Professionals-full_time	staff-Doctors-Medical_Practitioners-vacant	staff-Doctors-Medical_Practitioners-part_time	staff-Doctors-Medical_Practitioners-full_time	staff-Administrative_staff-Information_management-vacant	staff-Administrative_staff-Information_management-part_time	staff-Administrative_staff-Information_management-full_time	staff-Doctors-External_Visiting_Medical_Practitioners-vacant	staff-Doctors-External_Visiting_Medical_Practitioners-part_time	staff-Doctors-External_Visiting_Medical_Practitioners-full_time	staff-Administrative_staff-Human_Resource-vacant	staff-Administrative_staff-Human_Resource-part_time	staff-Administrative_staff-Human_Resource-full_time	staff-Nursing_Staff-Clinical_Nurse_Practitioners-vacant	staff-Nursing_Staff-Clinical_Nurse_Practitioners-part_time	staff-Nursing_Staff-Clinical_Nurse_Practitioners-full_time	staff-Doctors-Medical_Specialists-vacant	staff-Doctors-Medical_Specialists-part_time	staff-Doctors-Medical_Specialists-full_time	staff-Doctors-Medical_Practitioner_Interns-vacant	staff-Doctors-Medical_Practitioner_Interns-part_time	staff-Doctors-Medical_Practitioner_Interns-full_time	staff-Clinical_staff-Dental-vacant	staff-Clinical_staff-Dental-part_time	staff-Clinical_staff-Dental-full_time	staff-Doctors-Registrars-vacant	staff-Doctors-Registrars-part_time	staff-Doctors-Registrars-full_time	staff-Doctors-External_Visiting_Medical_Specialists-vacant	staff-Doctors-External_Visiting_Medical_Specialists-part_time	staff-Doctors-External_Visiting_Medical_Specialists-full_time	staff-Staffing-Management_staff-vacant	staff-Staffing-Management_staff-part_time	staff-Staffing-Management_staff-full_time	staff-Administrative_staff-General_Admin_/_Support-vacant	staff-Administrative_staff-General_Admin_/_Support-part_time	staff-Administrative_staff-General_Admin_/_Support-full_time	staff-Administrative_staff-Financial-vacant	staff-Administrative_staff-Financial-part_time	staff-Administrative_staff-Financial-full_time	staff-Total_Staff_Compliment-vacant	staff-Total_Staff_Compliment-part_time	staff-Total_Staff_Compliment-full_time	staff-Vacant-vacant	staff-Vacant-part_time	staff-Vacant-full_time	pharmacy_and_dispensary-hours_per_day	clinics-hours_per_day	pharmacy_and_dispensary-days_per_week	in_patients-hours_per_day	clinics-days_per_week	in_patients-days_per_week	emergency_unit-hours_per_day	emergency_unit-days_per_week	out_patients-hours_per_day	out_patients-days_per_week	governance-Strategic_management	governance-Communications_and_public_relations	governance-Staff_welfare_and_employee_wellness	governance-Human_resource_management_and_development	governance-Leadership_and_Corporate_Governance	governance-Operational_Management	governance-Oversight_and_accountability	governance-Financial_management	governance-Risk_management	governance-Supply_chain_and_asset_Management	governance-Quality_Improvement	governance-Effective_leadership
ec_aliwal_north_block_h_clinic_2013_09_19	Aliwal North Block H Clinic	Aliwal North Block H Clinic	CLINIC	Eastern Cape Province	Joe Gqabi District Municipality	Maletswai Health sub-District	-30.691622	26.680411		0516341074	0721452725		A NDONGA	URBAN	Facility Owner - Government - Prov	ALIWAL NORTH	BLOCK H CLINIC	NTSUENJANA STREET	46	40	 N/A	48	 N/A	41	65	28	0	70	13	0	35	31	79	51	62	72	2	0				0	0	3	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	7	1	2	0	0	0							8	8	5								0	0	0	0	0	0						
ec_aliwal_north_hospital_2013_03_26	Aliwal North Hospital	Aliwal North Hospital	DISTRICT HOSPITAL	Eastern Cape Province	Joe Gqabi District Municipality	Maletswai Health sub-District	-30.697167	26.70719	0516341604	0516342381/2/3	0833782414	marietjie.fourie@impilo.ecprov.gov.za	MRS M FOURIE	URBAN	Facility Owner - Government - Prov	ALIWAL NORTH	P BAG X1004	PARK AVENUE	66	74	 N/A	61	 N/A	65	66	66	67	62	59	100	47	75	60	66	54	73			2	3		36	0	31	35	0	22	0	0	2	0	0	19	13	0	0	0	0	3	21	0	3	6	0	4	29	0	12	2	4	4	0	0	4	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	4	0	3	62	0	37	7	0	3							8			24		7	24	7	8	5	100	100		65	100			100	100			
ec_all_saints_gateway_clinic_2013_09_18	All Saints Gateway Clinic	All Saints Gateway Clinic	CLINIC	Eastern Cape Province	Chris Hani District Municipality	Ngcobo Health sub-District	-28.04807	28.046663	NA	0833780595	0833780595		ALL SAINTS GATEWAY	RURAL	Facility Owner - Government - Prov	NGCOBO	P/B X215		54	41	 N/A	59	 N/A	39	54	49	88	69	94	67	63	44	67	74	29	59	3	0				2	1	4	0	0	1	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0							8	8	7								50	100	50	100								
ec_all_saints_hospital_2013_03_26	All Saints Hospital	All Saints Hospital	DISTRICT HOSPITAL	Eastern Cape Province	Chris Hani District Municipality	Ngcobo Health sub-District	-31.66098	28.046663	0475481116	0475481115	0839944167	tembile.gedu@impilo.ecprov.gov.za	T.W. GEDU	RURAL	Facility Owner - Government - Prov	ENGCOBO	PRIVATE BAG X215	ALL SAINTS A/A	68	64	 N/A	70	 N/A	52	67	74	61	79	27	100	74	58	85	81	39	84			12	2		236	0	70	85	0	60	1	0	2	0	0	37	18	0	0	0	0	1	2	0	12	9	0	2	34	0	6	6	5	9	0	0	4	0	0	0	0	0	3	0	0	2	0	0	0	1	0	2	5	0	0	0	0	0	0	0	3	3	0	3													8			24		7	24	7	8	5	100	100			100				100			
ec_alphendale_clinic_2013_09_17	Alphendale Clinic	Alphendale Clinic	CLINIC	Eastern Cape Province	Buffalo City Metropolitan Municipality	Buffalo City Health sub-District	-33.013279	27.841346		0437334496	0836502998		Sister B.L. Magrimo	URBAN	Facility Owner - Government - Local	Alphendale	Alphendale Clinic, Alphen Road	Alphen Road	24	24	 N/A	24	 N/A	22	22	30	25	20	33	0	32	22	14	39	5	22	3	0				3	0	2	2	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0							8	8			5						0	0	50	0	0	25						
ec_amabele_clinic_2013_09_17	Amabele Clinic	Amabele Clinic	CLINIC	Eastern Cape Province	Amathole District Municipality	Amahlathi Health sub-District	-32.66337	27.52389		0437829022	0735369817		N.E. Leve	RURAL	Facility Owner - Government - Prov	Stutterheim,	P.O. Box 4931	Amabele Station Road,	67	59	 N/A	71	 N/A	62	68	68	62	68	80	100	73	56	79	81	53	81	3	0				0	0	3	2	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0							8										100	100	0	50	100							
ec_amadiba_clinic_2013_09_17	Amadiba Clinic	Amadiba Clinic	CLINIC	Eastern Cape Province	Alfred Nzo District Municipality	Umzimvubu Health sub-District	-31.073091	30.179014		0833780667	0737037575		BLOSSOM LUMIKA	RURAL	Facility Owner - Government - Prov	BIZANA	PO BOX 531	UMGUNGUNDLOVU A/A	35	37	 N/A	34	 N/A	21	42	37	43	32	37	67	27	32	13	52	25	66	6	0				2	0	9	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	1	0	0	0							8	8	5								100	0	0	0								
ec_amahleke_clinic_2013_09_17	Amahleke Clinic	Amahleke Clinic	CLINIC	Eastern Cape Province	Buffalo City Metropolitan Municipality	Buffalo City Health sub-District	-32.834766	27.230218		0406562481	0729171095		C.T. Jakeja	RURAL	Facility Owner - Government - Prov	Dimbaza	Buffalo City Subdistrict	Thembisa Township	38	34	 N/A	40	 N/A	27	45	33	50	47	67	33	31	29	43	50	45	65	4	0				4	0	6	1	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0							8	8			5						50	0	0	0		50						
ec_amandengane_clinic_2013_09_17	Amandengane Clinic	Amandengane Clinic	CLINIC	Eastern Cape Province	Alfred Nzo District Municipality	Umzimvubu Health sub-District	-31.099178	29.750606		0718543793	0767985353		LILLIAN MATHA	RURAL	Facility Owner - Government - Prov	BIZANA	P/BAG X531	CHITHWAYO LOCATION	59	52	 N/A	62	 N/A	37	71	61	75	61	47	100	64	50	67	45	67	78	2	0				0	10	0	1	0	1	4	0	4	0	0	1	0	0	0	0	0	0	1	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0							8	8	5								100	100	50	100	100	75						
ec_amantshangase_clinic_2013_09_17	Amantshangase Clinic	Amantshangase Clinic	CLINIC	Eastern Cape Province	Alfred Nzo District Municipality	Umzimvubu Health sub-District	-30.839589	29.587928		0833780694	0825979814 / 0718595895		T.T. NTLANTI	RURAL	Facility Owner - Government - Prov	BIZANA	AMANTSHANGASE CLINIC	AMANTSHANGASE A/A	58	54	 N/A	60	 N/A	45	70	54	88	62	40	33	68	45	57	78	38	79	2	0				6	0	3	0	0	2	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0							8	8	5								0	100	50	100								
ec_amathole_basin_clinic_2013_09_17	Amathole Basin Clinic	Amathole Basin Clinic	CLINIC	Eastern Cape Province	Amathole District Municipality	Nkonkobe Health sub-District	-32.69596	26.99311		0833781193	0732367650		N.E. Yokwana	RURAL	Facility Owner - Government - Prov	Middledrift			32	28	 N/A	33	 N/A	17	47	28	25	40	37	0	19	23	40	54	12	60	2	0				4	0	2	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	0	0							8										0	0	0	0	0	25						
ec_andries_vosloo_hospital_2013_03_26	Andries Vosloo Hospital	Andries Vosloo Hospital	DISTRICT HOSPITAL	Eastern Cape Province	Cacadu District Municipality	Camdeboo Health sub-District	-32.731182	25.591224	042 243 0918	042 243 1311	083 378 0891	hestelle.smith@impilo.ecprov.gov.za	HI Smith	RURAL	Facility Owner - Government - Prov	Somerset East	Private bag X02	Charles Street Somerset East	81	84	 N/A	79	 N/A	74	83	85	60	86	69	67	87	77	84	84	87	76			2	2		72	0	31	22	0	26	0	0	0	0	0	26	7	0	0	2	0	1	20	0	3	8	0	6	7	0	10	5	3	2	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	5	20	0	49	1	0	1							8			24		7	24	7	8	5	100	100	80					50				
ec_andrieskraal_satellite_clinic_2013_09_18	Andrieskraal Satellite Clinic	Andrieskraal Satellite Clinic	SATELLITE CLINIC	Eastern Cape Province	Cacadu District Municipality	Kouga Health sub-District	-33.746529	24.640381			082 829 5348		A Potgieter	RURAL	Facility Owner - Government - Prov	Humansdorp	PO Box 1154	R 331 Patensie	37	41	 N/A	36	 N/A	37	46	40	50	31	0	0	39	31	20	52	30	56	3	0				0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0							8										0	0	0	0	0	50						
ec_anglo_african_street_clinic_2013_09_18	Anglo African Street Clinic	Anglo African Street Clinic	CLINIC	Eastern Cape Province	Cacadu District Municipality	Makana Health sub-District	-33.311444	26.525867	046 622 3430	046 622 3430	078 241 3658		NM Mbulukwana	RURAL	Facility Owner - Government - Prov	Grahamstown		No. 3 Huntley Street	42	44	 N/A	41	 N/A	25	65	37	43	43	33	0	42	33	47	47	37	64	2	0				1	0	2	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0							8	8	5								0	0	0	50	0							
ec_askeaton_clinic_2013_09_18	Askeaton Clinic	Askeaton Clinic	CLINIC	Eastern Cape Province	Chris Hani District Municipality	Sakhisizwe Health sub-District	-31.625093	27.460434			0833031668		Mrs N Yozo	RURAL	Facility Owner - Government - Prov	Cala	PO Box 1126 Cala	Askeaton Location	77	76	 N/A	78	 N/A	68	87	75	86	86	40	33	82	63	100	98	64	93	2	0				1	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0							8	8	7								50	0	100	50								
ec_aspiranza_clinic_2013_09_17	Aspiranza Clinic	Aspiranza Clinic	CLINIC	Eastern Cape Province	Buffalo City Metropolitan Municipality	Buffalo City Health sub-District	-33.019228	27.849545		0437332191	0799681237		Mrs D.L. Mbusi	URBAN	Facility Owner - Government - Local	Buffalo Flats	Aspiranza Clinic, Robert King Cresecent	Robert King Crescent	20	20	 N/A	20	 N/A	26	17	21	38	10	33	33	32	15	13	25	17	21	3	0				3	0	2	2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0							8	8			5						0	100	0	0								
